date,total,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80-
2020. 01,11,0,0,3,2,0,5,1,0,0
2020. 02,2920,19,99,853,358,437,578,389,133,54
2020. 03,6855,94,416,1798,653,878,1266,845,518,387
2020. 04,979,27,76,297,145,112,107,113,58,44
2020. 05,703,17,66,223,134,94,83,57,16,13
2020. 06,1331,35,51,188,204,160,247,263,125,58
2020. 07,1506,54,74,258,314,249,233,185,97,42
2020. 08,5641,196,363,700,681,763,1119,1114,517,188
2020. 09,3865,136,161,442,417,485,783,814,442,185
2020. 10,2700,114,151,407,376,385,451,427,210,179
2020. 11,7688,301,592,1296,1096,1233,1347,1031,507,285
2020. 12,26527,1098,1720,3243,3346,3825,5174,4387,2145,1589
2021. 01,17471,893,1433,2235,2246,2591,3283,2644,1242,904
2021. 02,11467,638,829,1597,1732,1643,2021,1756,801,450
2021. 03,13415,749,979,1922,2130,2152,2318,1964,825,376
2021. 04,18927,912,1520,2734,2597,3061,3554,2791,1186,572
2021. 05,18331,911,1469,2885,2837,3070,3253,2515,985,406
2021. 06,16623,959,1346,3062,2780,3087,2938,1771,515,165
2021. 07,41374,2479,4335,9891,6967,7308,6811,2591,713,279
2021. 08,53079,3424,5541,12238,8926,8355,8238,4364,1364,629
2021. 09,57312,3713,5689,12954,10781,9800,6943,4766,1831,835
