date,total,kor,foreign,death
2020. 01,11,4,7,0
2020. 02,2920,2904,16,16
2020. 03,6855,6344,511,146
2020. 04,979,447,532,85
2020. 05,703,511,192,23
2020. 06,1331,1006,325,12
2020. 07,1506,693,813,19
2020. 08,5641,5214,427,23
2020. 09,3865,3461,404,89
2020. 10,2700,2172,528,51
2020. 11,7688,6895,793,62
2020. 12,26527,25696,831,374
2021. 01,17471,16544,927,520
2021. 02,11467,10729,738,183
2021. 03,13415,12870,545,128
2021. 04,18927,18193,734,97
2021. 05,18331,17602,729,131
2021. 06,16623,15758,865,59
2021. 07,41374,39397,1977,77
2021. 08,53079,51425,1654,190
2021. 09,57312,56450,862,189
