ETC_Pop_Word,Ratio
에어컨청소,1.0
입주청소,0.5
이사청소,0.33
에어컨설치,0.25
벽걸이에어컨청소,0.2
티비무빙,0.17
에어컨설치비용,0.14
분리수거대행,0.12
매트리스청소,0.11
에어컨청소가격,0.1
화장실청소업체,0.09
거주청소,0.08
한경희홈케어,0.08
매트리스케어,0.07
반딧불이새집증후군,0.07
통돌이세탁기청소업체,0.06
서울세탁기청소,0.06
벽걸이설치,0.06
신축입주청소,0.05
한샘홈케어,0.05
세탁기청소업체,0.05
통돌이세탁기분해청소,0.05
드럼세탁기청소업체,0.04
부산에어컨청소,0.04
tv벽걸이설치,0.04
티비벽걸이설치,0.04
에어컨청소비용,0.04
에어컨분해청소,0.04
세탁기분해청소,0.03
이사청소가격,0.03
벽걸이tv설치,0.03
한경희에어컨청소,0.03
세탁조청소업체,0.03
한샘매트리스케어,0.03
부산벽걸이티비설치,0.03
삼성에어컨청소,0.03
tv설치,0.03
미소이사청소,0.03
미소입주청소,0.03
워터클린에어컨,0.03
한샘에어컨청소,0.02
인천에어컨설치,0.02
워터클린에어컨청소,0.02
벽걸이tv시공,0.02
통돌이세탁기분해청소가격,0.02
벽걸이에어컨청소비용,0.02
벽걸이에어컨청소업체,0.02
에어컨이전설치,0.02
식당청소업체,0.02
티비설치,0.02
하이마트에어컨청소,0.02
벽걸이시공,0.02
스탠드에어컨청소,0.02
부산입주청소,0.02
삼성세탁기청소,0.02
에어컨청소업체,0.02
캐리어에어컨청소,0.02
tv벽걸이시공,0.02
출장세차,0.02
빌트인세탁기청소,0.02
정리정돈업체,0.02
벽걸이에어컨청소가격,0.02
lg에어컨청소,0.02
벽걸이에어컨이전설치,0.02
액자형에어컨청소,0.02
티비벽걸이시공,0.02
tv무빙,0.01
대구벽걸이tv설치,0.01
벽걸이tv설치업체,0.01
이사청소추천,0.01
한경희입주청소,0.01
에어컨청소교육,0.01
부산시스템에어컨청소,0.01
세탁기분해설치,0.01
청주벽걸이티비설치,0.01
원티비,0.01
의정부벽걸이tv설치,0.01
벽걸이티비시공,0.01
티비이전설치,0.01
가게청소업체,0.01
경기도이사청소,0.01
착한수거,0.01
피아노운반,0.01
한샘세탁기청소,0.01
비아도,0.01
냉장고청소업체,0.01
대전벽걸이티비설치,0.01
엘지에어컨청소,0.01
입주청소추천,0.01
조이앤워시,0.01
드럼세탁기분해청소,0.01
부산좋은세탁기청소,0.01
새집입주청소,0.01
청소대행,0.01
벽걸이에어컨분해청소,0.01
중고에어컨설치,0.01
한경희이사청소,0.01
한스클린,0.01
tv벽걸이설치비용,0.01
tv이전설치,0.01
