date,elec_age10-19,elec_age20-29,elec_age30-39,elec_age40-49,elec_age50-59,elec_age60-,gro_age10-19,gro_age20-29,gro_age30-39,gro_age40-49,gro_age50-59,gro_age60-,kids_age10-19,kids_age20-29,kids_age30-39,kids_age40-49,kids_age50-59,kids_age60-,trav_age10-19,trav_age20-29,trav_age30-39,trav_age40-49,trav_age50-59,trav_age60-,cul_age10-19,cul_age20-29,cul_age30-39,cul_age40-49,cul_age50-59,cul_age60-,offi_age10-19,offi_age20-29,offi_age30-39,offi_age40-49,offi_age50-59,offi_age60-
2020. 03,945.9,2209.9,1887.2,1619.9,1637.1,1719.2,1352.7,1586.9,1549.3,1515,1397.2,1409.5,1034.2,1745.7,1473.2,1659.3,1938.2,1479.1,349.3,541.9,524.4,474,526.8,581.3,806.5,938.3,698.5,554.5,545.3,300,862.6,938.3,899.5,982.9,994.6,972
2020. 04,1345.5,1827.2,1643,1683.8,1574,1672.3,1699.8,1594.6,1494,1453.5,1372.4,1410.9,1333.7,1585.9,1523.9,1631.7,1770.2,1583.1,605.9,771.7,852.9,735.9,702.1,810.2,641.9,560.5,420.4,336.4,348.2,214,820.1,560.5,889.8,927.4,946.9,956.7
2020. 05,941.8,1512.8,1380.7,1159.1,1128.8,1498.7,1731.9,1523.9,1386,1326.8,1249.4,1289.9,1466.4,1445.6,1468.2,1670.6,1754.7,1447,611.8,811.3,866,706.6,708,893.2,555.8,607.2,468.7,365.9,354,244.9,703.7,607.2,791.8,871.8,912,908.7
2020. 06,783.1,1404.9,1323.1,1121.3,1007.3,1407.6,1293.1,1543.5,1461.4,1348,1256.7,1270.6,1095.2,1448.8,1406.1,1558.1,1661.7,1390.4,699.5,1271.7,1320.1,1063,1019.5,1180.7,435.5,553.3,450,396.8,338,218.3,680.5,553.3,791.3,855.9,877.6,873.1
2020. 07,868,1381.8,1460,1240.6,1072.5,1396.7,1481.9,1529.6,1484.2,1335.2,1251.4,1295,1020.2,1373,1242.5,1303.2,1558.7,1302.4,1339.4,2121.3,2005.4,1782.3,1652.5,1783.4,618,853.5,790.1,732.4,691.2,454.1,668.6,853.5,803.1,858.3,892,886.2
2020. 08,999.4,1595,1556.6,1307.8,1195.1,1406.2,1443.3,1520.8,1331.7,1268.3,1216.1,1305.9,1181.2,1308.2,1052.4,1062.2,1378,1222.1,1358.1,1396.4,1324.7,1194.8,1194.6,1234.9,626.7,848.8,846.9,721.6,708,420.7,676.3,848.8,731.7,764.4,792.3,832
2020. 09,1325.8,1778.4,1630.5,1508.6,1319.9,1585.4,2113.8,1893.2,1712,1684.6,1604,1647.1,1438.5,1612.9,1263.3,1284.8,1506.2,1376.2,478.3,684.5,667.6,549.7,628.7,814.8,598.6,584.6,422.4,346.9,425.5,307.7,996,584.6,988.4,1050.1,1104.2,1077.4
2020. 10,839.1,1357,1284.4,1119.6,991.8,1228.3,1784.9,1604.7,1369.3,1354.1,1329.1,1433.4,1113.4,1378.3,1336.6,1504.4,1518.5,1313,615.3,857.3,900.2,781.3,857,1118.7,639.6,879.5,730.4,574.1,506.6,331.9,1057.3,879.5,1130.9,1198.2,1199.3,1185.7
2020. 11,911.1,1374.8,1382.8,1174,1009,1190.6,2014,1793.5,1483,1444.2,1382.5,1476.8,1138.2,1475.7,1457.5,1592,1617.5,1429,778.3,1060,939.3,755.9,821.6,995.9,938.7,1404.7,1235.4,985.1,867.2,515.9,1392.3,1404.7,1533.4,1571.7,1539.7,1466.2
2020. 12,1784,1817,1874.9,1713.7,1429,1546.2,2445.1,2045.6,1702.1,1637.7,1555.4,1677,1904.4,1867.8,1780.1,1825.7,1871.3,1808.9,906.9,723.2,552.5,454,553.1,622.5,664.5,594.5,459.4,321.9,356.9,189.4,2116.2,594.5,2051,2119.9,1998.6,1975.7
2021. 01,1134.2,1949.4,2014.4,1877,1895.7,2130.4,1826.6,1740.4,1813.1,1810.5,1853.5,2118.7,1896.6,1595.2,1285.2,1563.6,1921,1786.1,456.7,531.3,521.8,491.1,637,710.3,410.6,498.7,410.5,296.5,304.4,196.1,1501.2,498.7,1552.8,1701.5,1841.2,1911.7
2021. 02,852.4,1744.3,1593.2,1499,1671.3,1842.1,1605,1439.8,1477.2,1452,1488.1,1651.8,1361.9,1201.6,1134.3,1424.2,1672.3,1590.1,701,800.5,776.2,757.8,874.2,1058.7,590.3,843.6,634.5,520.4,477.4,326.1,1048.6,843.6,1193.7,1383.9,1511.5,1529.2
2021. 03,867,1740.9,1726.3,1705,1694,1826.7,1655.4,1805.3,1811.9,1698.8,1707.1,1859.7,1657.6,1726.3,1499.1,1966.3,2311.9,2148.7,455.2,972.8,1093.5,920.1,1085,1492,512.9,1327.5,1077.6,1003.2,916.1,537.7,1267,1327.5,1449.7,1721.6,1951.6,1920.5
2021. 04,660.1,1169.2,1466.1,1370.6,1224.9,1451.7,1559.1,1704.4,1695,1670.8,1674.7,1778.5,1399.7,1484,1478.2,1865.5,2147.4,2179.6,722.2,1047.2,1170.4,1114.5,1194.4,1553.5,819.4,1301.3,1111.7,1058.6,900.7,624.6,1076.5,1301.3,1318.4,1526.3,1682,1698.5
2021. 05,639.6,1126.1,1367.6,1250.8,1134.5,1348.6,1710.6,1684.8,1603.3,1596.9,1647,1869.8,1310.7,1343.6,1304.9,1552.1,1828.7,1869.8,850.7,1157.8,1198.1,1141.9,1174.7,1469.1,1022.6,1521.8,1164.3,1177,941.6,594.2,945.4,1521.8,1116.6,1254.3,1428.3,1470.9
2021. 06,590.1,1091.3,1333.9,1177.4,1066.7,1268.5,1617.8,1705.4,1692.6,1711.3,1739,1887.4,1047,1267.8,1305.7,1532.7,1761.1,1695.3,1206.4,1821.4,1822.7,1845.3,1727.7,1938,1225.8,1938.5,1708.7,1713.7,1396.4,1092.8,919.3,1938.5,1134.7,1324.6,1439,1441.2
2021. 07,681.4,1203.8,1507.3,1269.4,1154.5,1334.4,1620.8,1759.6,1722.5,1725,1748.7,1942.3,1128.9,1217.9,1202.6,1358.4,1704.2,1613.9,1522.2,1705.4,1738.9,1836,1808.2,1845.4,1074.2,1241.4,1262.2,1279,887.6,681.2,950,1241.4,1142.9,1315.6,1452.5,1483.3
