시점,합계,컴퓨터 및 주변기기,가전·전자·통신기기,서적,사무·문구,의복,신발,가방,패션용품 및 액세서리,스포츠·레저용품,화장품,아동·유아용품,음·식료품,농축수산물,생활용품,자동차 및 자동차용품,가구,애완용품,여행 및 교통서비스,문화 및 레저서비스,e쿠폰서비스,음식서비스,기타서비스,기타
2017. 01,3390183,288391,307496,103851,37233,397422,42529,43978,56669,104489,273399,76647,281528,116799,245410,34744,83204,22849,603688,94242,14216,32810,41810,86780
2017. 02,3298823,329143,328088,106649,41550,382105,44976,53127,58915,106163,300678,81434,223285,66964,252296,33549,96989,24296,552472,72901,11707,28759,22608,80170
2017. 03,3585449,322089,349185,126052,45751,478990,55799,54028,63045,128706,353850,95343,249069,72315,266119,37139,102935,25187,510654,88936,12277,30493,19826,97661
2017. 04,3304819,251604,366894,82291,41721,441022,54249,47250,59952,135380,251566,90564,266606,65812,246729,35727,88744,23609,534384,66084,12206,30273,21513,90639
2017. 05,3359693,241871,417717,78606,39428,439084,55797,45044,61938,138288,262428,76554,239172,63704,247892,38442,83217,22937,574594,76776,14631,31139,18357,92076
2017. 06,3341138,262908,366554,78615,37788,394173,54666,43903,61378,137585,274418,75478,243369,66113,246264,39538,84221,22732,605089,86509,16151,25541,18198,99948
2017. 07,3404599,252949,432760,95733,35743,392273,48228,44194,63749,133912,258757,72696,233432,64551,240315,41482,85175,22569,643280,82271,15604,27301,24316,93311
2017. 08,3395357,280831,359011,100090,38125,338973,40961,47640,67589,122467,280375,72846,254664,68512,245562,39414,90905,23065,645755,101624,17291,34667,21923,103067
2017. 09,3585077,270647,343507,88774,39683,434408,49838,48352,63340,124327,331282,75971,316807,122538,265245,36519,91966,24325,538530,74496,17375,30106,92102,104940
2017. 10,3247093,235350,333413,72439,37422,439236,47801,44345,57204,126699,311318,70801,216216,67310,227897,32422,85731,22728,549027,97818,16436,32224,27007,96251
2017. 11,3781198,302907,462529,87946,44129,586462,61475,49080,66076,141177,354520,84549,253308,76101,274287,39536,96351,25677,518560,65460,20237,34430,31121,105278
2017. 12,3582993,320177,387969,103589,50562,458290,52613,51051,69667,118429,290554,104274,258055,75792,264710,37716,88111,23206,522992,71778,27963,40576,31087,133830
