시점,합계,컴퓨터 및 주변기기,가전·전자·통신기기,서적,사무·문구,의복,신발,가방,패션용품 및 액세서리,스포츠·레저용품,화장품,아동·유아용품,음·식료품,농축수산물,생활용품,자동차 및 자동차용품,가구,애완용품,여행 및 교통서비스,문화 및 레저서비스,e쿠폰서비스,음식서비스,기타서비스,기타
2017. 01,3920295,133993,294626,47379,15959,467093,61269,99665,86770,96891,380746,183143,394322,142230,346900,45400,105397,30247,611775,70012,74432,150546,23788,57713
2017. 02,3850025,146200,298786,47680,18854,445567,73655,110077,87970,100947,428550,180770,349797,100582,354823,43128,122186,37709,557968,50991,69089,145165,18125,61409
2017. 03,4161562,151262,318541,59519,24255,563752,97495,114633,102632,128655,361445,204856,392601,121835,353374,44158,137752,40078,561942,49197,77872,161602,16120,77987
2017. 04,4075976,116675,349814,40127,20233,531625,97379,112149,105230,147775,331769,203032,386307,110327,328595,44786,117279,35774,600457,53515,72727,166271,31704,72425
2017. 05,4262026,109053,443900,35774,17810,539150,104765,107327,106764,154683,360424,198011,394181,112058,352665,48770,118222,33175,607302,57009,83982,179426,25133,72441
2017. 06,4173992,113811,385920,37657,18181,515569,101494,105539,101447,151484,378115,183591,398224,114736,350978,48653,119363,33360,605819,57802,78868,170090,22907,80383
2017. 07,4493955,128025,494107,47351,18084,495098,92518,107525,106286,158771,360699,191882,404744,118131,373275,52762,126482,35931,736121,69376,76023,197324,27703,75734
2017. 08,4464301,135562,399471,49898,19625,419251,77350,115821,110615,143884,372187,190684,437977,125578,386060,53285,136077,37525,760584,83259,83577,219093,30697,76238
2017. 09,4566066,128865,363151,47891,20792,525271,90408,116864,107005,141138,385834,196306,511044,166426,388499,50478,135835,41752,684418,52535,83024,209012,32185,87334
2017. 10,4414710,118174,394994,41293,18898,595469,92565,112662,104244,148099,366559,189740,392399,107471,374151,48053,137353,41763,658486,81688,79602,210551,25456,75041
2017. 11,5215779,157832,485981,44577,23812,857482,114073,120428,123504,171843,434703,215042,448282,132643,434326,50031,145819,46998,639102,79622,104091,246210,25590,113788
2017. 12,5310654,155301,427298,58092,27303,737601,102315,129802,136433,139821,412990,272962,451629,146060,417191,47508,132574,39074,755350,135272,122247,298964,25605,139263
2018. 01,5337201,187441,459257,64132,26473,571852,85859,135151,128067,126246,434948,219323,560272,168319,449370,45677,159155,47640,805804,118365,85532,309665,30782,117870
2018. 02,4906994,177621,418685,54689,25271,489051,83720,129877,117814,109501,429497,197372,518213,172972,401715,39074,152372,40717,698011,90396,108408,288800,30542,132678
2018. 03,5506668,193113,510861,70476,30649,680287,113113,143810,138381,160529,439877,214584,534601,152387,468022,47231,174549,45674,694525,75329,115826,325867,29349,147626
